trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TRIP_02456_90389,11:29:00,11:29:00,STN_GTR,4,0,0
TRIP_02456_90389,11:31:00,11:31:00,STN_BCL,5,0,0
TRIP_02457_90389,11:21:00,11:21:00,STN_CCG,1,0,0
TRIP_02457_90389,11:24:00,11:24:00,STN_MEL,2,0,0
TRIP_02457_90389,11:26:00,11:26:00,STN_CYR,3,0,0
TRIP_02457_90389,11:29:00,11:29:00,STN_GTR,4,0,0
TRIP_02457_90389,11:31:00,11:31:00,STN_BCL,5,0,0
TRIP_02458_90391,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02458_90391,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02458_90391,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02458_90391,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02458_90391,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02458_90391,11:41:00,11:41:00,STN_DDR_WR,6,0,0
TRIP_02458_90391,11:47:00,11:47:00,STN_BA,7,0,0
TRIP_02458_90391,11:57:00,11:57:00,STN_ADH,8,0,0
TRIP_02458_90391,12:09:00,12:09:00,STN_MDD,9,0,0
TRIP_02459_90391,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02459_90391,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02459_90391,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02459_90391,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02459_90391,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02459_90391,11:41:00,11:41:00,STN_DDR_WR,6,0,0
TRIP_02459_90391,11:47:00,11:47:00,STN_BA,7,0,0
TRIP_02459_90391,11:57:00,11:57:00,STN_ADH,8,0,0
TRIP_02459_90391,12:09:00,12:09:00,STN_MDD,9,0,0
TRIP_02460_90391,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02460_90391,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02460_90391,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02460_90391,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02460_90391,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02460_90391,11:41:00,11:41:00,STN_DDR_WR,6,0,0
TRIP_02460_90391,11:47:00,11:47:00,STN_BA,7,0,0
TRIP_02460_90391,11:57:00,11:57:00,STN_ADH,8,0,0
TRIP_02460_90391,12:09:00,12:09:00,STN_MDD,9,0,0
TRIP_02461_92089,12:01:00,12:01:00,STN_ADH,1,0,0
TRIP_02461_92089,12:06:00,12:06:00,STN_JOS,2,0,0
TRIP_02461_92089,12:09:00,12:09:00,STN_RMM,3,0,0
TRIP_02461_92089,12:11:00,12:11:00,STN_GMN,4,0,0
TRIP_02461_92089,12:15:00,12:15:00,STN_MDD,5,0,0
TRIP_02461_92089,12:18:00,12:18:00,STN_KILE,6,0,0
TRIP_02461_92089,12:24:00,12:24:00,STN_BVI,7,0,0
TRIP_02461_92089,12:29:00,12:29:00,STN_DIC,8,0,0
TRIP_02461_92089,12:34:00,12:34:00,STN_MIRA,9,0,0
TRIP_02461_92089,12:39:00,12:39:00,STN_BYR,10,0,0
TRIP_02461_92089,12:45:00,12:45:00,STN_NIG,11,0,0
TRIP_02461_92089,12:51:00,12:51:00,STN_BSR,12,0,0
TRIP_02461_92089,12:56:00,12:56:00,STN_NSP,13,0,0
TRIP_02461_92089,13:03:00,13:03:00,STN_VR,14,0,0
TRIP_02462_92089,12:01:00,12:01:00,STN_ADH,1,0,0
TRIP_02462_92089,12:06:00,12:06:00,STN_JOS,2,0,0
TRIP_02462_92089,12:09:00,12:09:00,STN_RMM,3,0,0
TRIP_02462_92089,12:11:00,12:11:00,STN_GMN,4,0,0
TRIP_02462_92089,12:15:00,12:15:00,STN_MDD,5,0,0
TRIP_02462_92089,12:18:00,12:18:00,STN_KILE,6,0,0
TRIP_02462_92089,12:24:00,12:24:00,STN_BVI,7,0,0
TRIP_02462_92089,12:29:00,12:29:00,STN_DIC,8,0,0
TRIP_02462_92089,12:34:00,12:34:00,STN_MIRA,9,0,0
TRIP_02462_92089,12:39:00,12:39:00,STN_BYR,10,0,0
TRIP_02462_92089,12:45:00,12:45:00,STN_NIG,11,0,0
TRIP_02462_92089,12:51:00,12:51:00,STN_BSR,12,0,0
TRIP_02462_92089,12:56:00,12:56:00,STN_NSP,13,0,0
TRIP_02462_92089,13:03:00,13:03:00,STN_VR,14,0,0
TRIP_02463_92089,12:01:00,12:01:00,STN_ADH,1,0,0
TRIP_02463_92089,12:06:00,12:06:00,STN_JOS,2,0,0
TRIP_02463_92089,12:09:00,12:09:00,STN_RMM,3,0,0
TRIP_02463_92089,12:11:00,12:11:00,STN_GMN,4,0,0
TRIP_02463_92089,12:15:00,12:15:00,STN_MDD,5,0,0
TRIP_02463_92089,12:18:00,12:18:00,STN_KILE,6,0,0
TRIP_02463_92089,12:24:00,12:24:00,STN_BVI,7,0,0
TRIP_02463_92089,12:29:00,12:29:00,STN_DIC,8,0,0
TRIP_02463_92089,12:34:00,12:34:00,STN_MIRA,9,0,0
TRIP_02463_92089,12:39:00,12:39:00,STN_BYR,10,0,0
TRIP_02463_92089,12:45:00,12:45:00,STN_NIG,11,0,0
TRIP_02463_92089,12:51:00,12:51:00,STN_BSR,12,0,0
TRIP_02463_92089,12:56:00,12:56:00,STN_NSP,13,0,0
TRIP_02463_92089,13:03:00,13:03:00,STN_VR,14,0,0
TRIP_02464_90393,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02464_90393,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02464_90393,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02464_90393,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02464_90393,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02464_90393,11:37:00,11:37:00,STN_MX,6,0,0
TRIP_02464_90393,11:40:00,11:40:00,STN_PL,7,0,0
TRIP_02464_90393,11:43:00,11:43:00,STN_PBHD,8,0,0
TRIP_02464_90393,11:45:00,11:45:00,STN_DDR_WR,9,0,0
TRIP_02464_90393,11:47:00,11:47:00,STN_MRU,10,0,0
TRIP_02464_90393,11:50:00,11:50:00,STN_MM,11,0,0
TRIP_02464_90393,11:54:00,11:54:00,STN_BA,12,0,0
TRIP_02464_90393,11:57:00,11:57:00,STN_KHAR,13,0,0
TRIP_02464_90393,11:59:00,11:59:00,STN_STC,14,0,0
TRIP_02464_90393,12:02:00,12:02:00,STN_VLP,15,0,0
TRIP_02464_90393,12:07:00,12:07:00,STN_ADH,16,0,0
TRIP_02464_90393,12:10:00,12:10:00,STN_JOS,17,0,0
TRIP_02464_90393,12:13:00,12:13:00,STN_RMM,18,0,0
TRIP_02464_90393,12:15:00,12:15:00,STN_GMN,19,0,0
TRIP_02464_90393,12:19:00,12:19:00,STN_MDD,20,0,0
TRIP_02464_90393,12:22:00,12:22:00,STN_KILE,21,0,0
TRIP_02464_90393,12:29:00,12:29:00,STN_BVI,22,0,0
TRIP_02465_90393,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02465_90393,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02465_90393,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02465_90393,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02465_90393,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02465_90393,11:37:00,11:37:00,STN_MX,6,0,0
TRIP_02465_90393,11:40:00,11:40:00,STN_PL,7,0,0
TRIP_02465_90393,11:43:00,11:43:00,STN_PBHD,8,0,0
TRIP_02465_90393,11:45:00,11:45:00,STN_DDR_WR,9,0,0
TRIP_02465_90393,11:47:00,11:47:00,STN_MRU,10,0,0
TRIP_02465_90393,11:50:00,11:50:00,STN_MM,11,0,0
TRIP_02465_90393,11:54:00,11:54:00,STN_BA,12,0,0
TRIP_02465_90393,11:57:00,11:57:00,STN_KHAR,13,0,0
TRIP_02465_90393,11:59:00,11:59:00,STN_STC,14,0,0
TRIP_02465_90393,12:02:00,12:02:00,STN_VLP,15,0,0
TRIP_02465_90393,12:07:00,12:07:00,STN_ADH,16,0,0
TRIP_02465_90393,12:10:00,12:10:00,STN_JOS,17,0,0
TRIP_02465_90393,12:13:00,12:13:00,STN_RMM,18,0,0
TRIP_02465_90393,12:15:00,12:15:00,STN_GMN,19,0,0
TRIP_02465_90393,12:19:00,12:19:00,STN_MDD,20,0,0
TRIP_02465_90393,12:22:00,12:22:00,STN_KILE,21,0,0
TRIP_02465_90393,12:29:00,12:29:00,STN_BVI,22,0,0
TRIP_02466_90393,11:24:00,11:24:00,STN_CCG,1,0,0
TRIP_02466_90393,11:27:00,11:27:00,STN_MEL,2,0,0
TRIP_02466_90393,11:29:00,11:29:00,STN_CYR,3,0,0
TRIP_02466_90393,11:32:00,11:32:00,STN_GTR,4,0,0
TRIP_02466_90393,11:34:00,11:34:00,STN_BCL,5,0,0
TRIP_02466_90393,11:37:00,11:37:00,STN_MX,6,0,0
TRIP_02466_90393,11:40:00,11:40:00,STN_PL,7,0,0
TRIP_02466_90393,11:43:00,11:43:00,STN_PBHD,8,0,0
TRIP_02466_90393,11:45:00,11:45:00,STN_DDR_WR,9,0,0
TRIP_02466_90393,11:47:00,11:47:00,STN_MRU,10,0,0
TRIP_02466_90393,11:50:00,11:50:00,STN_MM,11,0,0
TRIP_02466_90393,11:54:00,11:54:00,STN_BA,12,0,0
TRIP_02466_90393,11:57:00,11:57:00,STN_KHAR,13,0,0
TRIP_02466_90393,11:59:00,11:59:00,STN_STC,14,0,0
TRIP_02466_90393,12:02:00,12:02:00,STN_VLP,15,0,0
TRIP_02466_90393,12:07:00,12:07:00,STN_ADH,16,0,0
TRIP_02466_90393,12:10:00,12:10:00,STN_JOS,17,0,0
TRIP_02466_90393,12:13:00,12:13:00,STN_RMM,18,0,0
TRIP_02466_90393,12:15:00,12:15:00,STN_GMN,19,0,0
TRIP_02466_90393,12:19:00,12:19:00,STN_MDD,20,0,0
TRIP_02466_90393,12:22:00,12:22:00,STN_KILE,21,0,0
TRIP_02466_90393,12:29:00,12:29:00,STN_BVI,22,0,0
TRIP_02467_92091,11:27:00,11:27:00,STN_CCG,1,0,0
TRIP_02467_92091,11:37:00,11:37:00,STN_BCL,2,0,0
TRIP_02467_92091,11:44:00,11:44:00,STN_DDR_WR,3,0,0
TRIP_02467_92091,11:50:00,11:50:00,STN_BA,4,0,0
